[2024-06-01 02:35:34:50024][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2024-06-01 02:35:37:492][main] INFO  z.w.WeatherAssignmentApplication - Starting WeatherAssignmentApplication using Java 17.0.11 with PID 20112 (C:\Users\user\OneDrive\Desktop~1-HyunjunLee-56359672\제로베이스\springlecture\weatherAssignment\build\classes\java\main started by user in C:\Users\user\OneDrive\Desktop~1-HyunjunLee-56359672\제로베이스\springlecture\weatherAssignment)
[2024-06-01 02:35:37:494][main] INFO  z.w.WeatherAssignmentApplication - No active profile set, falling back to 1 default profile: "default"
[2024-06-01 02:35:38:1105][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2024-06-01 02:35:38:1157][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 46 ms. Found 2 JPA repository interfaces.
[2024-06-01 02:35:38:1560][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
[2024-06-01 02:35:38:1568][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2024-06-01 02:35:38:1569][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2024-06-01 02:35:38:1569][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
[2024-06-01 02:35:38:1623][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2024-06-01 02:35:38:1623][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1096 ms
[2024-06-01 02:35:38:1726][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2024-06-01 02:35:38:1952][main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@701c223a
[2024-06-01 02:35:38:1953][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2024-06-01 02:35:38:1985][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2024-06-01 02:35:38:2036][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.8.Final
[2024-06-01 02:35:39:2070][main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
[2024-06-01 02:35:39:2343][main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
[2024-06-01 02:35:39:2409][main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
[2024-06-01 02:35:40:3042][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[2024-06-01 02:35:40:3044][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2024-06-01 02:35:40:3375][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2024-06-01 02:35:40:3699][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2024-06-01 02:35:40:3715][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
[2024-06-01 02:35:40:3726][main] INFO  z.w.WeatherAssignmentApplication - Started WeatherAssignmentApplication in 3.619 seconds (process running for 4.181)
[2024-06-01 02:35:40:3772][http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2024-06-01 02:35:40:3772][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2024-06-01 02:35:40:3773][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
[2024-06-01 02:35:41:4082][http-nio-8080-exec-4] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 174 ms
[2024-06-01 02:36:26:49535][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2024-06-01 02:36:26:49537][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2024-06-01 02:36:26:49544][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2024-06-01 02:36:30:531][main] INFO  z.w.WeatherAssignmentApplication - Starting WeatherAssignmentApplication using Java 17.0.11 with PID 29504 (C:\Users\user\OneDrive\Desktop~1-HyunjunLee-56359672\제로베이스\springlecture\weatherAssignment\build\classes\java\main started by user in C:\Users\user\OneDrive\Desktop~1-HyunjunLee-56359672\제로베이스\springlecture\weatherAssignment)
[2024-06-01 02:36:30:533][main] INFO  z.w.WeatherAssignmentApplication - No active profile set, falling back to 1 default profile: "default"
[2024-06-01 02:36:30:1235][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2024-06-01 02:36:30:1285][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 44 ms. Found 2 JPA repository interfaces.
[2024-06-01 02:36:31:1835][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
[2024-06-01 02:36:31:1844][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2024-06-01 02:36:31:1845][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2024-06-01 02:36:31:1845][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
[2024-06-01 02:36:31:1905][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2024-06-01 02:36:31:1905][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1333 ms
[2024-06-01 02:36:31:2024][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2024-06-01 02:36:31:2259][main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@60b616c8
[2024-06-01 02:36:31:2260][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2024-06-01 02:36:31:2295][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2024-06-01 02:36:32:2340][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.8.Final
[2024-06-01 02:36:32:2371][main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
[2024-06-01 02:36:32:2605][main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
[2024-06-01 02:36:32:2678][main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
[2024-06-01 02:36:33:3360][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[2024-06-01 02:36:33:3363][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2024-06-01 02:36:33:3757][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2024-06-01 02:36:33:4080][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
